timestamp,value,unit,device_id,sensor_name,quality_flag
2025-10-04T23:56:39+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:51:39+00:00,0.8,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:46:39+00:00,0.5,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:41:32+00:00,1.0,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:36:32+00:00,1.0,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:31:32+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:26:24+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:21:24+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:16:24+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:11:24+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:06:15+00:00,0.5,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T23:01:15+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:56:15+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:51:15+00:00,1.0,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:46:09+00:00,0.5,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:41:09+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:36:09+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:31:09+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:26:00+00:00,1.9,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:21:00+00:00,0.3,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:16:00+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:11:00+00:00,0.9,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:06:00+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T22:01:00+00:00,0.5,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:56:00+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:50:51+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:45:51+00:00,0.2,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:40:51+00:00,0.3,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:35:51+00:00,0.3,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:30:51+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:25:51+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:20:51+00:00,1.3,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:15:42+00:00,0.9,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:10:42+00:00,0.5,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:05:42+00:00,1.3,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T21:00:42+00:00,0.7,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T20:55:42+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T20:50:42+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T20:45:42+00:00,0.6,ug/m3,18774,Sensirion SEN5X - PM2.5,
2025-10-04T20:40:33+00:00,0.4,ug/m3,18774,Sensirion SEN5X - PM2.5,
